,date,env reset start date,get state calculated portfolio value,action,mvo calculated current portfolio value,calculated optimized weights,current composition,agent weights updated to,current sortino ratio,target sortino ratio,current weights,target weights,current cumulative return,Distance penalty,Scaled Sortino diff,Reward,Reward no scale,dai ceilings
0,2022-05-20,2022-05-20,,,,,,,,,,,,,,,,
1,2022-05-20,,9138785768.037464,,,,,,,,,,,,,,,
2,2022-05-20,2022-05-20,,,,,,,,,,,,,,,,
3,2022-05-20,,9138785768.037464,,,,,,,,,,,,,,,
4,2022-05-20,,,"{'ETH Vault_dai_ceiling': -0.5, 'stETH Vault_dai_ceiling': 0.5, 'BTC Vault_dai_ceiling': -0.13765162218294852, 'Altcoin Vault_dai_ceiling': -0.2132899327589985, 'Stablecoin Vault_dai_ceiling': 0.25, 'PSM Vault_dai_ceiling': -0.5}",,,,,,,,,,,,,,
5,2022-06-14,,9568880700.532457,,,,,,,,,,,,,,,
6,2022-06-14,,,,9619751109.532457,,,,,,,,,,,,,
7,2022-06-14,,,,,"[0.1        0.05       0.5        0.1        0.01       0.02421762
 0.02       0.19578238]",,,,,,,,,,,,
8,2022-06-14,,,,,,"BTC Vault_collateral_usd          0.15855
ETH Vault_collateral_usd          0.32920
stETH Vault_collateral_usd        0.07361
Stablecoin Vault_collateral_usd   0.05215
Altcoin Vault_collateral_usd      0.05032
LP Vault_collateral_usd           0.09274
RWA Vault_collateral_usd          0.00529
PSM Vault_collateral_usd          0.23813
Name: 2022-06-13 00:00:00, dtype: float64",,,,,,,,,,,
9,2022-06-14,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000019825, 'LP Vault_collateral_usd': 0.02421762458518405, 'RWA Vault_collateral_usd': 0.02, 'PSM Vault_collateral_usd': 0.19578237541482046}",,,,,,,,,,
10,2022-06-14,,,,,,,,-1.1761339924833554,,,,,,,,,
11,2022-06-14,,,,,,,,,12.227000207886759,,,,,,,,
12,2022-06-14,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.1585477117038386, 'ETH Vault_collateral_usd': 0.32920065545406624, 'stETH Vault_collateral_usd': 0.07361047228045735, 'Stablecoin Vault_collateral_usd': 0.052153805683662395, 'Altcoin Vault_collateral_usd': 0.05032476667923216, 'LP Vault_collateral_usd': 0.09274011514414415, 'RWA Vault_collateral_usd': 0.005288121118808492, 'PSM Vault_collateral_usd': 0.2381343519357907}",,,,,,,
13,2022-06-14,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000019825, 'LP Vault_collateral_usd': 0.02421762458518405, 'RWA Vault_collateral_usd': 0.02, 'PSM Vault_collateral_usd': 0.19578237541482046}",,,,,,
14,2022-06-14,,,,,,,,,,,,0.6582644543392333,,,,,
15,2022-06-14,,,,,,,,,,,,,0.1396993145477318,,,,
16,2022-06-14,,,,,,,,,,,,,,0.00013403134200370116,,,
17,2022-06-14,,,,,,,,,,,,,,,-0.13956528320572809,,
18,2022-06-14,,,,,,,,,,,,,,,,-1.3158333070310873,
19,2022-06-14,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19    4,215,499,587.09872  ...    3,593,103,707.31785
2021-11-20    4,185,875,620.48578  ...    3,604,384,386.93336
2021-11-21    4,185,229,052.82756  ...    3,604,384,386.93336
2021-11-22    4,167,338,922.83872  ...    3,674,297,040.97279
2021-11-23    4,152,215,276.92244  ...    3,670,722,718.34453
...                           ...  ...                    ...
2022-06-09    1,624,989,877.36115  ...    4,083,664,084.33807
2022-06-10    1,616,864,927.97435  ...    4,063,245,763.91637
2022-06-11    1,608,780,603.33447  ...    4,042,929,535.09679
2022-06-12    1,600,736,700.31780  ...    4,022,714,887.42131
2022-06-13    1,592,733,016.81621  ...    4,002,601,312.98420

[207 rows x 8 columns]"
20,2022-06-14,,,"{'stETH Vault_dai_ceiling': -0.4520663028745783, 'ETH Vault_dai_ceiling': -0.2064182262524672, 'BTC Vault_dai_ceiling': -0.02925396160820215, 'Altcoin Vault_dai_ceiling': -0.04257758714119125, 'Stablecoin Vault_dai_ceiling': -0.22973158139207278, 'LP Vault_dai_ceiling': 0.0, 'RWA Vault_dai_ceiling': 0.0, 'PSM Vault_dai_ceiling': 0.26662495828272703}",,,,,,,,,,,,,,
21,2022-07-09,,9622491159.125675,,,,,,,,,,,,,,,
22,2022-07-09,,,,9673361568.125677,,,,,,,,,,,,,
23,2022-07-09,,,,,"[0.1        0.05       0.5        0.1        0.01       0.02578107
 0.02       0.19421893]",,,,,,,,,,,,
24,2022-07-09,,,,,,"BTC Vault_collateral_usd          0.15641
ETH Vault_collateral_usd          0.32033
stETH Vault_collateral_usd        0.07144
Stablecoin Vault_collateral_usd   0.05320
Altcoin Vault_collateral_usd      0.05041
LP Vault_collateral_usd           0.09553
RWA Vault_collateral_usd          0.00526
PSM Vault_collateral_usd          0.24743
Name: 2022-07-08 00:00:00, dtype: float64",,,,,,,,,,,
25,2022-07-09,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000003322, 'LP Vault_collateral_usd': 0.025781072402362597, 'RWA Vault_collateral_usd': 0.019999999999981973, 'PSM Vault_collateral_usd': 0.19421892759767265}",,,,,,,,,,
26,2022-07-09,,,,,,,,-1.1318647804679673,,,,,,,,,
27,2022-07-09,,,,,,,,,9.630767147345768,,,,,,,,
28,2022-07-09,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.15640515933483834, 'ETH Vault_collateral_usd': 0.32032879880660703, 'stETH Vault_collateral_usd': 0.07143720451934811, 'Stablecoin Vault_collateral_usd': 0.05319690507680302, 'Altcoin Vault_collateral_usd': 0.05041034912057994, 'LP Vault_collateral_usd': 0.09553094887284394, 'RWA Vault_collateral_usd': 0.0052588139750323355, 'PSM Vault_collateral_usd': 0.2474318202939471}",,,,,,,
29,2022-07-09,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000003322, 'LP Vault_collateral_usd': 0.025781072402362597, 'RWA Vault_collateral_usd': 0.019999999999981973, 'PSM Vault_collateral_usd': 0.19421892759767265}",,,,,,
30,2022-07-09,,,,,,,,,,,,0.667679913377814,,,,,
31,2022-07-09,,,,,,,,,,,,,0.14003059326536846,,,,
32,2022-07-09,,,,,,,,,,,,,,0.00010762631927813736,,,
33,2022-07-09,,,,,,,,,,,,,,,-0.13435001001791202,,
34,2022-07-09,,,,,,,,,,,,,,,,-1.2663224168051574,
35,2022-07-09,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19    4,215,499,587.09872  ...    3,593,103,707.31785
2021-11-20    4,185,875,620.48578  ...    3,604,384,386.93336
2021-11-21    4,185,229,052.82756  ...    3,604,384,386.93336
2021-11-22    4,167,338,922.83872  ...    3,674,297,040.97279
2021-11-23    4,152,215,276.92244  ...    3,670,722,718.34453
...                           ...  ...                    ...
2022-07-04    1,525,098,184.20010  ...    4,232,789,399.92935
2022-07-05    1,521,950,103.57967  ...    4,244,075,072.90111
2022-07-06    1,518,808,521.17141  ...    4,255,390,836.29372
2022-07-07    1,515,673,423.56184  ...    4,266,736,770.33576
2022-07-08    1,512,544,797.36514  ...    4,278,112,955.46970

[232 rows x 8 columns]"
36,2022-07-09,,,"{'stETH Vault_dai_ceiling': 0.14089313779677426, 'ETH Vault_dai_ceiling': -0.18530206081059697, 'BTC Vault_dai_ceiling': -0.2682305182648643, 'Altcoin Vault_dai_ceiling': 0.24851373597162102, 'Stablecoin Vault_dai_ceiling': 0.04941611703577825, 'LP Vault_dai_ceiling': 0.0, 'RWA Vault_dai_ceiling': 0.0, 'PSM Vault_dai_ceiling': 0.3419589966610158}",,,,,,,,,,,,,,
37,2022-08-03,,10074270965.551802,,,,,,,,,,,,,,,
38,2022-08-03,,,,10125141374.5518,,,,,,,,,,,,,
39,2022-08-03,,,,,"[0.1        0.05       0.5        0.1        0.01       0.02321437
 0.01       0.20678563]",,,,,,,,,,,,
40,2022-08-03,,,,,,"BTC Vault_collateral_usd          0.15325
ETH Vault_collateral_usd          0.31364
stETH Vault_collateral_usd        0.07107
Stablecoin Vault_collateral_usd   0.05202
Altcoin Vault_collateral_usd      0.05116
LP Vault_collateral_usd           0.08890
RWA Vault_collateral_usd          0.00502
PSM Vault_collateral_usd          0.26494
Name: 2022-08-02 00:00:00, dtype: float64",,,,,,,,,,,
41,2022-08-03,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000009857, 'ETH Vault_collateral_usd': 0.050000000000181906, 'stETH Vault_collateral_usd': 0.4999999999997754, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01, 'LP Vault_collateral_usd': 0.023214373023219187, 'RWA Vault_collateral_usd': 0.01, 'PSM Vault_collateral_usd': 0.2067856269768517}",,,,,,,,,,
42,2022-08-03,,,,,,,,-0.9805900340957466,,,,,,,,,
43,2022-08-03,,,,,,,,,8.502209452414922,,,,,,,,
44,2022-08-03,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.15324640421281513, 'ETH Vault_collateral_usd': 0.31363924175989505, 'stETH Vault_collateral_usd': 0.07107450151020245, 'Stablecoin Vault_collateral_usd': 0.05201847655369989, 'Altcoin Vault_collateral_usd': 0.05115710789280755, 'LP Vault_collateral_usd': 0.08889985217738759, 'RWA Vault_collateral_usd': 0.005024167773879784, 'PSM Vault_collateral_usd': 0.26494024811931266}",,,,,,,
45,2022-08-03,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000009857, 'ETH Vault_collateral_usd': 0.050000000000181906, 'stETH Vault_collateral_usd': 0.4999999999997754, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01, 'LP Vault_collateral_usd': 0.023214373023219187, 'RWA Vault_collateral_usd': 0.01, 'PSM Vault_collateral_usd': 0.2067856269768517}",,,,,,
46,2022-08-03,,,,,,,,,,,,0.7146212396263422,,,,,
47,2022-08-03,,,,,,,,,,,,,0.13768081547483962,,,,
48,2022-08-03,,,,,,,,,,,,,,9.482799486510668e-05,,,
49,2022-08-03,,,,,,,,,,,,,,,-0.09088249115716933,,
50,2022-08-03,,,,,,,,,,,,,,,,-1.071567353247781,
51,2022-08-03,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19    4,215,499,587.09872  ...    3,593,103,707.31785
2021-11-20    4,185,875,620.48578  ...    3,604,384,386.93336
2021-11-21    4,185,229,052.82756  ...    3,604,384,386.93336
2021-11-22    4,167,338,922.83872  ...    3,674,297,040.97279
2021-11-23    4,152,215,276.92244  ...    3,670,722,718.34453
...                           ...  ...                    ...
2022-07-29    1,454,764,450.03775  ...    4,596,066,825.72406
2022-07-30    1,452,068,741.53189  ...    4,611,783,489.72718
2022-07-31    1,449,378,028.22945  ...    4,627,553,898.27683
2022-08-01    1,446,692,300.87420  ...    4,643,378,235.15732
2022-08-02    1,444,011,550.22709  ...    4,659,256,684.78144

[257 rows x 8 columns]"
52,2022-08-03,,,"{'stETH Vault_dai_ceiling': 0.21038428311896762, 'ETH Vault_dai_ceiling': -0.06708250709796326, 'BTC Vault_dai_ceiling': -0.29501709240084106, 'Altcoin Vault_dai_ceiling': -0.08561914388618813, 'Stablecoin Vault_dai_ceiling': 0.13038086187154124, 'LP Vault_dai_ceiling': 0.0, 'RWA Vault_dai_ceiling': 0.0, 'PSM Vault_dai_ceiling': 0.2663265330887159}",,,,,,,,,,,,,,
53,2022-08-28,,9548233958.71994,,,,,,,,,,,,,,,
54,2022-08-28,,,,9599104367.71994,,,,,,,,,,,,,
55,2022-08-28,,,,,"[0.1        0.05       0.5        0.1        0.01       0.01944812
 0.01       0.21055188]",,,,,,,,,,,,
56,2022-08-28,,,,,,"BTC Vault_collateral_usd          0.14572
ETH Vault_collateral_usd          0.30590
stETH Vault_collateral_usd        0.06805
Stablecoin Vault_collateral_usd   0.05373
Altcoin Vault_collateral_usd      0.05205
LP Vault_collateral_usd           0.09268
RWA Vault_collateral_usd          0.00530
PSM Vault_collateral_usd          0.27658
Name: 2022-08-27 00:00:00, dtype: float64",,,,,,,,,,,
57,2022-08-28,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000004247, 'ETH Vault_collateral_usd': 0.05000000000007619, 'stETH Vault_collateral_usd': 0.49999999999988104, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000003397, 'LP Vault_collateral_usd': 0.019448121040460575, 'RWA Vault_collateral_usd': 0.010000000000029253, 'PSM Vault_collateral_usd': 0.2105518789595985}",,,,,,,,,,
58,2022-08-28,,,,,,,,-1.0332860769433299,,,,,,,,,
59,2022-08-28,,,,,,,,,6.279329735222579,,,,,,,,
60,2022-08-28,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.14572303499342737, 'ETH Vault_collateral_usd': 0.30589678673034654, 'stETH Vault_collateral_usd': 0.06804932109867098, 'Stablecoin Vault_collateral_usd': 0.05373042257060011, 'Altcoin Vault_collateral_usd': 0.0520495613510732, 'LP Vault_collateral_usd': 0.09267589833892925, 'RWA Vault_collateral_usd': 0.0052994953540736614, 'PSM Vault_collateral_usd': 0.2765754795628789}",,,,,,,
61,2022-08-28,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000004247, 'ETH Vault_collateral_usd': 0.05000000000007619, 'stETH Vault_collateral_usd': 0.49999999999988104, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000003397, 'LP Vault_collateral_usd': 0.019448121040460575, 'RWA Vault_collateral_usd': 0.010000000000029253, 'PSM Vault_collateral_usd': 0.2105518789595985}",,,,,,
62,2022-08-28,,,,,,,,,,,,0.687350334868435,,,,,
63,2022-08-28,,,,,,,,,,,,,0.13797736027900748,,,,
64,2022-08-28,,,,,,,,,,,,,,7.31261581216591e-05,,,
65,2022-08-28,,,,,,,,,,,,,,,-0.1898577809774249,,
66,2022-08-28,,,,,,,,,,,,,,,,-1.2232169840788765,
67,2022-08-28,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19    4,215,499,587.09872  ...    3,593,103,707.31785
2021-11-20    4,185,875,620.48578  ...    3,604,384,386.93336
2021-11-21    4,185,229,052.82756  ...    3,604,384,386.93336
2021-11-22    4,167,338,922.83872  ...    3,674,297,040.97279
2021-11-23    4,152,215,276.92244  ...    3,670,722,718.34453
...                           ...  ...                    ...
2022-08-23    1,423,805,171.04108  ...    4,926,900,819.27784
2022-08-24    1,422,850,046.83616  ...    4,940,022,463.41854
2022-08-25    1,421,895,563.35250  ...    4,953,179,053.97917
2022-08-26    1,420,941,720.16029  ...    4,966,370,684.03131
2022-08-27    1,419,988,516.83000  ...    4,979,597,446.89442

[282 rows x 8 columns]"
68,2022-08-28,,,"{'stETH Vault_dai_ceiling': -0.07590766881291888, 'ETH Vault_dai_ceiling': -0.23921877567305638, 'BTC Vault_dai_ceiling': 0.4935195046018712, 'Altcoin Vault_dai_ceiling': -0.09895251856211168, 'Stablecoin Vault_dai_ceiling': -0.16974737352198677, 'LP Vault_dai_ceiling': 0.0, 'RWA Vault_dai_ceiling': 0.0, 'PSM Vault_dai_ceiling': 0.12945773312854003}",,,,,,,,,,,,,,
69,2022-09-22,,10481420310.625608,,,,,,,,,,,,,,,
70,2022-09-22,,,,10532290719.625608,,,,,,,,,,,,,
71,2022-09-22,,,,,"[0.1        0.05       0.5        0.1        0.01       0.01787075
 0.01       0.21212925]",,,,,,,,,,,,
72,2022-09-22,,,,,,"BTC Vault_collateral_usd          0.15215
ETH Vault_collateral_usd          0.30008
stETH Vault_collateral_usd        0.07148
Stablecoin Vault_collateral_usd   0.05071
Altcoin Vault_collateral_usd      0.05001
LP Vault_collateral_usd           0.09221
RWA Vault_collateral_usd          0.00483
PSM Vault_collateral_usd          0.27854
Name: 2022-09-21 00:00:00, dtype: float64",,,,,,,,,,,
73,2022-09-22,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01000000000000647, 'LP Vault_collateral_usd': 0.017870752162542667, 'RWA Vault_collateral_usd': 0.010000000000023403, 'PSM Vault_collateral_usd': 0.21212924783745984}",,,,,,,,,,
74,2022-09-22,,,,,,,,-0.7827593613876295,,,,,,,,,
75,2022-09-22,,,,,,,,,6.670667243005484,,,,,,,,
76,2022-09-22,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.15214996484571056, 'ETH Vault_collateral_usd': 0.3000763550684733, 'stETH Vault_collateral_usd': 0.07148311687518485, 'Stablecoin Vault_collateral_usd': 0.050706588831391904, 'Altcoin Vault_collateral_usd': 0.05000598377026695, 'LP Vault_collateral_usd': 0.09221226277479823, 'RWA Vault_collateral_usd': 0.0048299472882199655, 'PSM Vault_collateral_usd': 0.27853578054595424}",,,,,,,
77,2022-09-22,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01000000000000647, 'LP Vault_collateral_usd': 0.017870752162542667, 'RWA Vault_collateral_usd': 0.010000000000023403, 'PSM Vault_collateral_usd': 0.21212924783745984}",,,,,,
78,2022-09-22,,,,,,,,,,,,0.7705851903271583,,,,,
79,2022-09-22,,,,,,,,,,,,,0.13799438485863222,,,,
80,2022-09-22,,,,,,,,,,,,,,7.453426604393114e-05,,,
81,2022-09-22,,,,,,,,,,,,,,,-0.04070386916792476,,
82,2022-09-22,,,,,,,,,,,,,,,,-0.8235377648215982,
83,2022-09-22,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19    4,215,499,587.09872  ...    3,593,103,707.31785
2021-11-20    4,185,875,620.48578  ...    3,604,384,386.93336
2021-11-21    4,185,229,052.82756  ...    3,604,384,386.93336
2021-11-22    4,167,338,922.83872  ...    3,674,297,040.97279
2021-11-23    4,152,215,276.92244  ...    3,670,722,718.34453
...                           ...  ...                    ...
2022-09-17    1,350,334,931.44720  ...    5,116,740,399.93538
2022-09-18    1,347,104,676.75670  ...    5,123,364,416.06721
2022-09-19    1,343,882,149.44193  ...    5,129,997,007.50016
2022-09-20    1,340,667,331.01755  ...    5,136,638,185.33564
2022-09-21    1,337,460,203.04244  ...    5,143,287,960.68939

[307 rows x 8 columns]"
84,2022-09-22,,,"{'stETH Vault_dai_ceiling': -0.2863296694492513, 'ETH Vault_dai_ceiling': -0.37673849342684373, 'BTC Vault_dai_ceiling': 0.2136226416644732, 'Altcoin Vault_dai_ceiling': 0.17869707799720408, 'Stablecoin Vault_dai_ceiling': -0.12572798368863453, 'LP Vault_dai_ceiling': 0.0, 'RWA Vault_dai_ceiling': 0.0, 'PSM Vault_dai_ceiling': 0.21474871940346196}",,,,,,,,,,,,,,
85,2022-10-17,,10898945916.39467,,,,,,,,,,,,,,,
86,2022-10-17,,,,10949816325.39467,,,,,,,,,,,,,
87,2022-10-17,,,,,[0.1  0.05 0.5  0.1  0.01 0.01 0.01 0.22],,,,,,,,,,,,
88,2022-10-17,,,,,,"BTC Vault_collateral_usd          0.16378
ETH Vault_collateral_usd          0.30142
stETH Vault_collateral_usd        0.07463
Stablecoin Vault_collateral_usd   0.04903
Altcoin Vault_collateral_usd      0.04887
LP Vault_collateral_usd           0.06589
RWA Vault_collateral_usd          0.00465
PSM Vault_collateral_usd          0.29173
Name: 2022-10-16 00:00:00, dtype: float64",,,,,,,,,,,
89,2022-10-17,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000003022, 'LP Vault_collateral_usd': 0.010000000000000009, 'RWA Vault_collateral_usd': 0.010000000000012126, 'PSM Vault_collateral_usd': 0.2200000000000068}",,,,,,,,,,
90,2022-10-17,,,,,,,,-0.6179361860932406,,,,,,,,,
91,2022-10-17,,,,,,,,,6.363483627724086,,,,,,,,
92,2022-10-17,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.16378436898622054, 'ETH Vault_collateral_usd': 0.30141685383550093, 'stETH Vault_collateral_usd': 0.0746340057962334, 'Stablecoin Vault_collateral_usd': 0.04902595673660368, 'Altcoin Vault_collateral_usd': 0.048867894537676794, 'LP Vault_collateral_usd': 0.0658913072138004, 'RWA Vault_collateral_usd': 0.0046457773800298394, 'PSM Vault_collateral_usd': 0.2917338355139345}",,,,,,,
93,2022-10-17,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000003022, 'LP Vault_collateral_usd': 0.010000000000000009, 'RWA Vault_collateral_usd': 0.010000000000012126, 'PSM Vault_collateral_usd': 0.2200000000000068}",,,,,,
94,2022-10-17,,,,,,,,,,,,0.8240630205502625,,,,,
95,2022-10-17,,,,,,,,,,,,,0.13762693145346735,,,,
96,2022-10-17,,,,,,,,,,,,,,6.981419813817326e-05,,,
97,2022-10-17,,,,,,,,,,,,,,,-0.0979146864789877,,
98,2022-10-17,,,,,,,,,,,,,,,,-0.7159206867703666,
99,2022-10-17,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19    4,215,499,587.09872  ...    3,593,103,707.31785
2021-11-20    4,185,875,620.48578  ...    3,604,384,386.93336
2021-11-21    4,185,229,052.82756  ...    3,604,384,386.93336
2021-11-22    4,167,338,922.83872  ...    3,674,297,040.97279
2021-11-23    4,152,215,276.92244  ...    3,670,722,718.34453
...                           ...  ...                    ...
2022-10-12    1,235,539,796.95864  ...    5,380,285,466.48764
2022-10-13    1,230,885,042.94189  ...    5,391,839,560.62717
2022-10-14    1,226,247,825.17529  ...    5,403,418,467.03591
2022-10-15    1,221,628,077.59305  ...    5,415,022,238.99788
2022-10-16    1,217,025,734.37824  ...    5,426,650,929.91154

[332 rows x 8 columns]"
100,2022-10-17,,,"{'stETH Vault_dai_ceiling': -0.0883344030127825, 'ETH Vault_dai_ceiling': -0.13830318752446136, 'BTC Vault_dai_ceiling': 0.4817742326484913, 'Altcoin Vault_dai_ceiling': -0.18598711140097002, 'Stablecoin Vault_dai_ceiling': -0.18947016578322046, 'LP Vault_dai_ceiling': 0.0, 'RWA Vault_dai_ceiling': 0.0, 'PSM Vault_dai_ceiling': -0.21933023789290018}",,,,,,,,,,,,,,
101,2022-11-11,,9740932282.627834,,,,,,,,,,,,,,,
102,2022-11-11,,,,9791802691.627834,,,,,,,,,,,,,
103,2022-11-11,,,,,"[0.1        0.05       0.5        0.1        0.01       0.01205469
 0.01       0.21794531]",,,,,,,,,,,,
104,2022-11-11,,,,,,"BTC Vault_collateral_usd          0.16948
ETH Vault_collateral_usd          0.29846
stETH Vault_collateral_usd        0.06398
Stablecoin Vault_collateral_usd   0.05193
Altcoin Vault_collateral_usd      0.05556
LP Vault_collateral_usd           0.07692
RWA Vault_collateral_usd          0.00520
PSM Vault_collateral_usd          0.27848
Name: 2022-11-10 00:00:00, dtype: float64",,,,,,,,,,,
105,2022-11-11,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000000385, 'ETH Vault_collateral_usd': 0.0500000000000107, 'stETH Vault_collateral_usd': 0.49999999999999123, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01, 'LP Vault_collateral_usd': 0.012054694487333218, 'RWA Vault_collateral_usd': 0.01, 'PSM Vault_collateral_usd': 0.21794530551266864}",,,,,,,,,,
106,2022-11-11,,,,,,,,-0.768944043328852,,,,,,,,,
107,2022-11-11,,,,,,,,,4.028320927776344,,,,,,,,
108,2022-11-11,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.1694808929736038, 'ETH Vault_collateral_usd': 0.29845753884873255, 'stETH Vault_collateral_usd': 0.0639812001296776, 'Stablecoin Vault_collateral_usd': 0.05193315057057278, 'Altcoin Vault_collateral_usd': 0.055556215824050584, 'LP Vault_collateral_usd': 0.07692065819895563, 'RWA Vault_collateral_usd': 0.00519520364145972, 'PSM Vault_collateral_usd': 0.27847513981294736}",,,,,,,
